index,fit-max,fit-min,fit-avg-min,fit-avg-max,fit-avg,fit-avg-median,const-max,const-min,const-avg-min,const-avg-max,const-avg,const-avg-median,m-leg,m-grid,m-align,m-reg,m-just,m-type-par,m-balance,m-ng-space,m-sem-emp,m-sem-lay,m-sem-vis,fittest-avg-fit,fittest-avg-const,fittest-avg-penalty,fittest-avg-max-fit,fittest-avg-max-const,fittest-avg-max-penalty,fittest-avg-min-fit,fittest-avg-min-const,fittest-avg-min-penalty,fittest-avg-m-leg,fittest-avg-m-grid,fittest-avg-m-align,fittest-avg-m-reg,fittest-avg-m-just,fittest-avg-m-type-par,fittest-avg-m-balance,fittest-avg-m-ng-space,fittest-avg-m-sem-emp,fittest-avg-m-sem-lay,fittest-avg-m-sem-vis
0,0.89,0.35,0.67,0.46,0.55,0.55,1,0,0.95,0,0.48,0.48,0.61,0.91,0.29,0.91,0.51,0.49,0.55,0.52,0.01,0.02,0,0.54,0.29,0.25,0.67,0.46,0.5,0.45,0.06,0.25,0.8,0.91,0.35,0.92,0.36,0.55,0.63,0.53,0.01,0.02,0
1,0.89,0.36,0.62,0.47,0.54,0.54,1,0,0.94,0,0.39,0.39,0.7,0.91,0.31,0.9,0.44,0.49,0.6,0.52,0.01,0.02,0,0.54,0.24,0.3,0.67,0.4,0.55,0.45,0.03,0.3,0.85,0.91,0.38,0.92,0.32,0.58,0.64,0.52,0.01,0.02,0
2,0.9,0.35,0.6,0.48,0.54,0.54,1,0,0.93,0,0.33,0.32,0.76,0.91,0.33,0.9,0.39,0.51,0.62,0.52,0.01,0.02,0,0.54,0.21,0.32,0.67,0.38,0.59,0.45,0.01,0.32,0.88,0.91,0.39,0.93,0.31,0.63,0.64,0.51,0.01,0.02,0
3,0.84,0.35,0.58,0.49,0.53,0.53,1,0,0.93,0,0.28,0.27,0.81,0.91,0.35,0.9,0.36,0.54,0.63,0.51,0.01,0.02,0,0.54,0.19,0.34,0.67,0.35,0.6,0.46,0,0.34,0.9,0.91,0.41,0.93,0.3,0.65,0.64,0.5,0.02,0.02,0
4,0.82,0.36,0.59,0.49,0.53,0.53,1,0,0.93,0,0.25,0.23,0.83,0.91,0.36,0.9,0.34,0.57,0.64,0.5,0.01,0.02,0,0.54,0.18,0.36,0.67,0.34,0.62,0.46,0,0.36,0.91,0.91,0.43,0.93,0.29,0.69,0.64,0.5,0.02,0.02,0
5,0.82,0.37,0.6,0.49,0.53,0.53,1,0,0.93,0,0.23,0.21,0.85,0.91,0.38,0.9,0.33,0.59,0.64,0.5,0.01,0.02,0,0.54,0.17,0.37,0.67,0.33,0.63,0.47,0,0.37,0.92,0.91,0.44,0.95,0.28,0.7,0.65,0.49,0.02,0.02,0
6,0.8,0.36,0.6,0.5,0.53,0.53,1,0,0.93,0,0.22,0.19,0.87,0.91,0.39,0.9,0.32,0.61,0.65,0.49,0.02,0.02,0,0.54,0.17,0.38,0.67,0.31,0.63,0.47,0,0.38,0.92,0.91,0.45,0.95,0.28,0.72,0.65,0.49,0.02,0.02,0
7,0.82,0.36,0.61,0.5,0.53,0.53,1,0,0.93,0,0.21,0.18,0.88,0.91,0.39,0.9,0.31,0.63,0.65,0.49,0.02,0.02,0,0.54,0.16,0.38,0.67,0.29,0.64,0.47,0,0.38,0.93,0.91,0.46,0.95,0.27,0.73,0.65,0.49,0.02,0.02,0
8,0.8,0.37,0.61,0.5,0.54,0.53,1,0,0.93,0,0.21,0.17,0.88,0.91,0.4,0.9,0.31,0.65,0.65,0.49,0.02,0.02,0,0.55,0.16,0.39,0.67,0.28,0.64,0.47,0,0.39,0.93,0.91,0.47,0.95,0.27,0.74,0.65,0.49,0.02,0.02,0
9,0.84,0.34,0.62,0.5,0.54,0.54,1,0,0.93,0,0.2,0.17,0.89,0.91,0.41,0.9,0.31,0.66,0.65,0.49,0.02,0.02,0,0.55,0.15,0.39,0.67,0.27,0.64,0.48,0,0.39,0.93,0.91,0.48,0.96,0.27,0.75,0.65,0.49,0.02,0.02,0
10,0.78,0.35,0.62,0.5,0.54,0.54,1,0,0.93,0,0.2,0.16,0.89,0.91,0.42,0.9,0.3,0.67,0.65,0.49,0.02,0.02,0,0.55,0.15,0.4,0.67,0.27,0.65,0.48,0,0.4,0.94,0.91,0.49,0.96,0.27,0.77,0.65,0.49,0.02,0.02,0
11,0.86,0.34,0.62,0.5,0.54,0.54,1,0,0.93,0,0.2,0.16,0.89,0.91,0.43,0.9,0.3,0.68,0.65,0.48,0.02,0.02,0,0.55,0.15,0.4,0.67,0.26,0.65,0.48,0,0.4,0.94,0.91,0.5,0.96,0.26,0.77,0.65,0.49,0.02,0.02,0
