index,fit-max,fit-min,fit-avg-min,fit-avg-max,fit-avg,fit-avg-median,const-max,const-min,const-avg-min,const-avg-max,const-avg,const-avg-median,m-leg,m-grid,m-align,m-reg,m-just,m-type-par,m-balance,m-ng-space,m-sem-emp,m-sem-lay,m-sem-vis,fittest-avg-fit,fittest-avg-const,fittest-avg-penalty,fittest-avg-max-fit,fittest-avg-max-const,fittest-avg-max-penalty,fittest-avg-min-fit,fittest-avg-min-const,fittest-avg-min-penalty,fittest-avg-m-leg,fittest-avg-m-grid,fittest-avg-m-align,fittest-avg-m-reg,fittest-avg-m-just,fittest-avg-m-type-par,fittest-avg-m-balance,fittest-avg-m-ng-space,fittest-avg-m-sem-emp,fittest-avg-m-sem-lay,fittest-avg-m-sem-vis
12,0.79,0.38,0.62,0.5,0.54,0.54,1,0,0.93,0,0.19,0.16,0.9,0.91,0.43,0.91,0.3,0.69,0.65,0.48,0.02,0.02,0,0.55,0.15,0.4,0.67,0.26,0.66,0.48,0,0.4,0.94,0.91,0.51,0.96,0.26,0.78,0.65,0.5,0.02,0.02,0
13,0.82,0.35,0.63,0.5,0.54,0.54,1,0,0.93,0,0.19,0.15,0.9,0.91,0.44,0.9,0.3,0.7,0.65,0.48,0.02,0.02,0,0.55,0.15,0.41,0.68,0.26,0.66,0.48,0,0.41,0.94,0.91,0.52,0.96,0.26,0.78,0.65,0.5,0.02,0.02,0
14,0.79,0.35,0.63,0.5,0.54,0.54,1,0,0.93,0,0.19,0.15,0.9,0.91,0.44,0.91,0.3,0.7,0.65,0.48,0.02,0.02,0,0.55,0.14,0.41,0.68,0.25,0.66,0.49,0,0.41,0.95,0.91,0.52,0.96,0.26,0.79,0.65,0.5,0.02,0.02,0
15,0.79,0.36,0.63,0.5,0.54,0.54,1,0,0.93,0,0.18,0.15,0.9,0.91,0.45,0.91,0.29,0.71,0.65,0.48,0.02,0.02,0,0.55,0.14,0.41,0.68,0.25,0.66,0.49,0,0.41,0.95,0.91,0.53,0.96,0.26,0.79,0.65,0.49,0.02,0.02,0
16,0.79,0.37,0.63,0.5,0.54,0.54,1,0,0.93,0,0.18,0.15,0.91,0.91,0.46,0.91,0.29,0.71,0.65,0.48,0.02,0.02,0,0.56,0.14,0.41,0.68,0.25,0.67,0.49,0,0.41,0.95,0.91,0.53,0.96,0.26,0.8,0.65,0.5,0.02,0.02,0
17,0.88,0.35,0.63,0.5,0.54,0.54,1,0,0.93,0,0.18,0.14,0.91,0.91,0.46,0.91,0.29,0.71,0.65,0.49,0.02,0.02,0,0.56,0.14,0.42,0.68,0.24,0.67,0.49,0,0.42,0.95,0.91,0.54,0.96,0.25,0.8,0.65,0.5,0.02,0.02,0
18,0.79,0.36,0.63,0.5,0.54,0.54,1,0,0.93,0,0.18,0.14,0.91,0.91,0.47,0.91,0.29,0.72,0.65,0.49,0.02,0.02,0,0.56,0.14,0.42,0.68,0.24,0.67,0.49,0,0.42,0.95,0.91,0.55,0.96,0.25,0.8,0.65,0.5,0.02,0.02,0
19,0.85,0.37,0.63,0.5,0.54,0.55,1,0,0.93,0,0.18,0.14,0.91,0.91,0.47,0.91,0.29,0.72,0.65,0.49,0.02,0.02,0,0.56,0.14,0.42,0.68,0.24,0.67,0.49,0,0.42,0.95,0.91,0.55,0.96,0.25,0.8,0.65,0.5,0.02,0.02,0
20,0.8,0.34,0.63,0.5,0.54,0.55,1,0,0.93,0,0.18,0.14,0.91,0.91,0.47,0.91,0.29,0.72,0.65,0.49,0.02,0.02,0,0.56,0.14,0.42,0.68,0.24,0.67,0.49,0,0.42,0.95,0.91,0.55,0.96,0.25,0.8,0.64,0.5,0.02,0.03,0
21,0.86,0.35,0.63,0.5,0.54,0.55,1,0,0.93,0,0.18,0.14,0.91,0.91,0.48,0.91,0.29,0.72,0.65,0.49,0.02,0.02,0,0.56,0.14,0.42,0.68,0.23,0.67,0.49,0,0.42,0.95,0.91,0.56,0.96,0.25,0.81,0.64,0.5,0.02,0.03,0
22,0.8,0.37,0.63,0.5,0.54,0.55,1,0,0.93,0,0.18,0.14,0.91,0.91,0.48,0.91,0.29,0.73,0.65,0.49,0.02,0.02,0,0.56,0.13,0.42,0.68,0.23,0.67,0.49,0,0.42,0.96,0.91,0.56,0.97,0.25,0.81,0.64,0.5,0.02,0.03,0
23,0.8,0.35,0.63,0.49,0.54,0.55,1,0,0.93,0,0.18,0.14,0.91,0.91,0.48,0.91,0.29,0.73,0.65,0.49,0.02,0.02,0,0.56,0.13,0.42,0.68,0.23,0.67,0.49,0,0.42,0.96,0.91,0.57,0.96,0.25,0.81,0.64,0.5,0.02,0.03,0
24,0.8,0.35,0.63,0.49,0.54,0.55,1,0,0.93,0,0.17,0.14,0.91,0.91,0.48,0.91,0.28,0.73,0.65,0.49,0.02,0.03,0,0.56,0.13,0.43,0.68,0.23,0.67,0.49,0,0.43,0.96,0.91,0.57,0.97,0.25,0.81,0.64,0.5,0.02,0.03,0
25,0.8,0.35,0.64,0.5,0.54,0.55,1,0,0.93,0,0.17,0.14,0.92,0.91,0.49,0.9,0.28,0.73,0.64,0.49,0.02,0.03,0,0.56,0.13,0.43,0.68,0.23,0.68,0.49,0,0.43,0.96,0.91,0.57,0.97,0.25,0.81,0.64,0.5,0.02,0.03,0
26,0.86,0.37,0.63,0.49,0.54,0.55,1,0,0.93,0,0.17,0.13,0.92,0.91,0.49,0.9,0.28,0.73,0.64,0.49,0.02,0.03,0,0.56,0.13,0.43,0.68,0.22,0.68,0.49,0,0.43,0.96,0.91,0.57,0.97,0.25,0.81,0.64,0.5,0.02,0.03,0
27,0.82,0.35,0.63,0.49,0.54,0.55,1,0,0.93,0,0.17,0.13,0.92,0.91,0.49,0.9,0.28,0.73,0.64,0.49,0.02,0.03,0,0.56,0.13,0.43,0.68,0.22,0.68,0.49,0,0.43,0.96,0.91,0.58,0.97,0.25,0.81,0.64,0.5,0.02,0.03,0
28,0.81,0.35,0.64,0.49,0.54,0.55,1,0,0.93,0,0.17,0.13,0.92,0.91,0.49,0.9,0.28,0.73,0.64,0.49,0.02,0.03,0,0.56,0.13,0.43,0.68,0.22,0.68,0.49,0,0.43,0.96,0.91,0.58,0.97,0.25,0.81,0.64,0.5,0.02,0.03,0
29,0.8,0.37,0.64,0.49,0.54,0.55,1,0,0.93,0,0.17,0.13,0.92,0.91,0.49,0.9,0.28,0.73,0.64,0.48,0.02,0.03,0,0.56,0.13,0.43,0.68,0.22,0.68,0.49,0,0.43,0.96,0.91,0.58,0.97,0.24,0.81,0.64,0.5,0.02,0.03,0
30,0.85,0.36,0.64,0.49,0.54,0.55,1,0,0.93,0,0.17,0.13,0.92,0.91,0.5,0.9,0.28,0.73,0.64,0.48,0.02,0.03,0,0.56,0.13,0.43,0.68,0.21,0.68,0.49,0,0.43,0.96,0.91,0.58,0.97,0.24,0.82,0.64,0.5,0.02,0.03,0
31,0.82,0.34,0.64,0.49,0.54,0.55,1,0,0.93,0,0.17,0.13,0.92,0.91,0.5,0.9,0.28,0.74,0.64,0.48,0.02,0.03,0,0.56,0.13,0.43,0.68,0.21,0.68,0.49,0,0.43,0.96,0.91,0.58,0.97,0.24,0.82,0.64,0.5,0.02,0.03,0
32,0.8,0.34,0.64,0.49,0.54,0.55,1,0,0.93,0,0.17,0.13,0.92,0.91,0.5,0.9,0.28,0.74,0.64,0.48,0.02,0.03,0,0.56,0.12,0.43,0.68,0.21,0.68,0.49,0,0.43,0.97,0.91,0.58,0.97,0.24,0.82,0.64,0.5,0.02,0.03,0
33,0.8,0.38,0.64,0.49,0.54,0.55,1,0,0.93,0,0.16,0.13,0.92,0.91,0.5,0.9,0.28,0.74,0.64,0.48,0.02,0.03,0,0.56,0.12,0.43,0.68,0.21,0.68,0.49,0,0.43,0.97,0.91,0.59,0.97,0.24,0.82,0.64,0.5,0.02,0.03,0
34,0.82,0.33,0.64,0.49,0.54,0.55,1,0,0.93,0,0.16,0.13,0.9299999999999999,0.91,0.5,0.9,0.28,0.74,0.64,0.48,0.02,0.03,0,0.56,0.12,0.44,0.68,0.21,0.68,0.49,0,0.44,0.97,0.91,0.59,0.97,0.24,0.82,0.64,0.49,0.02,0.03,0
35,0.8,0.38,0.64,0.49,0.54,0.55,1,0,0.93,0,0.16,0.13,0.9299999999999999,0.91,0.5,0.9,0.28,0.74,0.64,0.48,0.02,0.03,0,0.56,0.12,0.44,0.69,0.2,0.68,0.49,0,0.44,0.97,0.91,0.59,0.97,0.24,0.82,0.64,0.49,0.02,0.03,0
36,0.81,0.36,0.64,0.49,0.54,0.55,1,0,0.93,0,0.16,0.12,0.9299999999999999,0.91,0.51,0.9,0.28,0.74,0.64,0.48,0.02,0.03,0,0.56,0.12,0.44,0.69,0.2,0.68,0.49,0,0.44,0.97,0.91,0.59,0.97,0.24,0.82,0.64,0.49,0.02,0.03,0
37,0.8,0.37,0.64,0.49,0.54,0.55,1,0,0.93,0,0.16,0.12,0.9299999999999999,0.91,0.51,0.9,0.27,0.74,0.64,0.48,0.02,0.03,0,0.56,0.12,0.44,0.69,0.2,0.68,0.49,0,0.44,0.97,0.91,0.59,0.97,0.24,0.82,0.64,0.49,0.02,0.03,0
38,0.85,0.37,0.64,0.48,0.54,0.55,1,0,0.93,0,0.16,0.12,0.9299999999999999,0.91,0.51,0.9,0.27,0.74,0.64,0.48,0.02,0.03,0,0.56,0.12,0.44,0.69,0.2,0.68,0.49,0,0.44,0.97,0.91,0.6,0.97,0.24,0.82,0.64,0.49,0.02,0.03,0
39,0.8,0.36,0.64,0.48,0.54,0.55,1,0,0.93,0,0.16,0.12,0.9299999999999999,0.91,0.51,0.89,0.27,0.74,0.64,0.48,0.02,0.03,0,0.56,0.12,0.44,0.69,0.2,0.68,0.49,0,0.44,0.97,0.91,0.6,0.97,0.24,0.82,0.64,0.49,0.02,0.03,0
40,0.82,0.37,0.64,0.48,0.54,0.55,1,0,0.93,0,0.16,0.12,0.9299999999999999,0.91,0.51,0.89,0.27,0.74,0.64,0.48,0.02,0.03,0,0.56,0.12,0.44,0.69,0.2,0.68,0.49,0,0.44,0.97,0.91,0.6,0.97,0.24,0.83,0.64,0.49,0.02,0.03,0
41,0.8,0.34,0.64,0.48,0.54,0.54,1,0,0.93,0,0.16,0.12,0.9299999999999999,0.91,0.51,0.89,0.27,0.74,0.64,0.48,0.02,0.03,0,0.56,0.12,0.44,0.69,0.2,0.68,0.49,0,0.44,0.97,0.91,0.6,0.97,0.24,0.83,0.64,0.49,0.02,0.03,0
42,0.8,0.32,0.64,0.48,0.54,0.55,1,0,0.93,0,0.16,0.12,0.9299999999999999,0.91,0.51,0.89,0.27,0.74,0.64,0.48,0.02,0.03,0,0.56,0.12,0.44,0.69,0.2,0.68,0.49,0,0.44,0.97,0.91,0.6,0.97,0.24,0.83,0.64,0.49,0.02,0.03,0
43,0.8,0.37,0.64,0.48,0.54,0.54,1,0,0.93,0,0.16,0.12,0.9299999999999999,0.91,0.51,0.89,0.27,0.74,0.64,0.48,0.02,0.03,0,0.56,0.12,0.44,0.69,0.19,0.68,0.49,0,0.44,0.97,0.91,0.61,0.97,0.23,0.83,0.64,0.49,0.02,0.03,0
44,0.83,0.36,0.64,0.48,0.54,0.54,1,0,0.93,0,0.16,0.12,0.9299999999999999,0.91,0.52,0.89,0.27,0.74,0.64,0.48,0.02,0.03,0,0.56,0.12,0.44,0.69,0.19,0.68,0.49,0,0.44,0.97,0.91,0.61,0.97,0.23,0.83,0.64,0.49,0.02,0.03,0
45,0.81,0.36,0.64,0.48,0.54,0.54,1,0,0.93,0,0.16,0.12,0.9299999999999999,0.91,0.52,0.89,0.27,0.74,0.64,0.48,0.02,0.03,0,0.56,0.11,0.44,0.69,0.19,0.68,0.49,0,0.44,0.98,0.91,0.61,0.97,0.23,0.83,0.64,0.49,0.02,0.03,0
46,0.8,0.36,0.64,0.48,0.54,0.54,1,0,0.93,0,0.15,0.12,0.94,0.91,0.52,0.89,0.27,0.74,0.64,0.48,0.02,0.03,0,0.56,0.11,0.44,0.69,0.19,0.68,0.49,0,0.44,0.98,0.91,0.61,0.97,0.23,0.83,0.64,0.49,0.02,0.03,0
47,0.8,0.36,0.64,0.48,0.54,0.54,1,0,0.93,0,0.15,0.12,0.94,0.91,0.52,0.89,0.27,0.74,0.64,0.48,0.02,0.03,0,0.56,0.11,0.44,0.69,0.19,0.68,0.49,0,0.44,0.98,0.91,0.61,0.97,0.23,0.83,0.64,0.49,0.02,0.03,0
48,0.83,0.36,0.64,0.48,0.54,0.54,1,0,0.93,0,0.15,0.11,0.94,0.91,0.52,0.89,0.27,0.74,0.64,0.48,0.02,0.03,0,0.56,0.11,0.45,0.69,0.19,0.68,0.49,0,0.45,0.98,0.91,0.61,0.97,0.23,0.83,0.64,0.49,0.02,0.03,0
49,0.81,0.36,0.64,0.48,0.54,0.54,1,0,0.93,0,0.15,0.11,0.94,0.91,0.52,0.89,0.27,0.74,0.64,0.48,0.02,0.03,0,0.56,0.11,0.45,0.69,0.19,0.69,0.49,0,0.45,0.98,0.91,0.61,0.97,0.23,0.83,0.64,0.49,0.02,0.03,0
50,0.81,0.35,0.64,0.48,0.54,0.54,1,0,0.93,0,0.15,0.11,0.94,0.91,0.52,0.89,0.27,0.74,0.64,0.48,0.02,0.03,0,0.56,0.11,0.45,0.69,0.19,0.69,0.49,0,0.45,0.98,0.91,0.62,0.97,0.23,0.83,0.64,0.49,0.02,0.03,0
51,0.8,0.36,0.64,0.48,0.54,0.54,1,0,0.93,0,0.15,0.11,0.94,0.91,0.52,0.89,0.27,0.75,0.64,0.48,0.02,0.03,0,0.56,0.11,0.45,0.69,0.19,0.69,0.49,0,0.45,0.98,0.91,0.62,0.97,0.23,0.83,0.64,0.49,0.02,0.03,0
52,0.8,0.33,0.64,0.48,0.54,0.54,1,0,0.93,0,0.15,0.11,0.94,0.91,0.52,0.89,0.27,0.74,0.64,0.48,0.02,0.03,0,0.56,0.11,0.45,0.69,0.19,0.69,0.49,0,0.45,0.98,0.91,0.62,0.97,0.23,0.83,0.64,0.49,0.02,0.03,0
53,0.86,0.36,0.64,0.48,0.54,0.54,1,0,0.93,0,0.15,0.11,0.94,0.91,0.53,0.89,0.27,0.74,0.64,0.48,0.02,0.03,0,0.56,0.11,0.45,0.69,0.18,0.69,0.49,0,0.45,0.98,0.91,0.62,0.97,0.23,0.83,0.64,0.49,0.02,0.03,0
54,0.8,0.36,0.64,0.48,0.54,0.54,1,0,0.93,0,0.15,0.11,0.94,0.91,0.53,0.89,0.26,0.74,0.64,0.48,0.02,0.03,0,0.56,0.11,0.45,0.69,0.18,0.69,0.49,0,0.45,0.98,0.91,0.62,0.97,0.23,0.83,0.64,0.49,0.02,0.03,0
55,0.8,0.35,0.64,0.48,0.54,0.54,1,0,0.93,0,0.15,0.11,0.94,0.91,0.53,0.89,0.26,0.75,0.64,0.48,0.02,0.03,0,0.56,0.11,0.45,0.69,0.18,0.69,0.49,0,0.45,0.98,0.91,0.62,0.97,0.23,0.83,0.64,0.49,0.02,0.03,0
56,0.83,0.35,0.64,0.48,0.54,0.54,1,0,0.93,0,0.15,0.11,0.94,0.91,0.53,0.89,0.27,0.74,0.64,0.48,0.02,0.03,0,0.56,0.11,0.45,0.69,0.18,0.69,0.49,0,0.45,0.98,0.91,0.63,0.97,0.23,0.83,0.64,0.49,0.02,0.03,0
57,0.84,0,0.64,0.48,0.54,0.54,1,0,0.93,0,0.15,0.11,0.94,0.91,0.53,0.89,0.26,0.75,0.64,0.48,0.02,0.03,0,0.56,0.11,0.45,0.69,0.18,0.69,0.49,0,0.45,0.98,0.91,0.63,0.97,0.23,0.83,0.63,0.49,0.02,0.03,0
58,0.8,0.31,0.64,0.48,0.54,0.54,1,0,0.93,0,0.15,0.11,0.94,0.91,0.53,0.88,0.26,0.74,0.64,0.48,0.02,0.03,0,0.56,0.11,0.45,0.69,0.18,0.69,0.49,0,0.45,0.98,0.91,0.63,0.97,0.23,0.83,0.63,0.49,0.02,0.03,0
59,0.8,0.34,0.64,0.48,0.54,0.54,1,0,0.93,0,0.15,0.11,0.94,0.91,0.53,0.88,0.26,0.74,0.64,0.48,0.02,0.03,0,0.56,0.11,0.45,0.69,0.18,0.69,0.49,0,0.45,0.98,0.91,0.63,0.97,0.23,0.83,0.63,0.49,0.02,0.03,0
60,0.8,0.34,0.64,0.48,0.54,0.54,1,0,0.93,0,0.15,0.11,0.94,0.91,0.54,0.88,0.26,0.75,0.64,0.48,0.02,0.03,0,0.56,0.11,0.45,0.69,0.18,0.69,0.49,0,0.45,0.98,0.91,0.63,0.97,0.23,0.83,0.63,0.49,0.02,0.03,0
61,0.81,0.35,0.64,0.48,0.54,0.54,1,0,0.93,0,0.15,0.11,0.94,0.91,0.54,0.88,0.26,0.75,0.64,0.48,0.02,0.03,0,0.56,0.11,0.45,0.69,0.18,0.69,0.49,0,0.45,0.98,0.91,0.64,0.97,0.23,0.83,0.63,0.49,0.02,0.03,0
62,0.81,0.34,0.64,0.48,0.54,0.54,1,0,0.93,0,0.14,0.11,0.95,0.91,0.54,0.88,0.26,0.75,0.64,0.48,0.02,0.03,0,0.56,0.1,0.45,0.69,0.18,0.69,0.49,0,0.45,0.98,0.91,0.64,0.97,0.23,0.83,0.63,0.49,0.02,0.03,0
63,0.8,0.34,0.64,0.47,0.54,0.54,1,0,0.93,0,0.14,0.11,0.95,0.91,0.54,0.88,0.26,0.75,0.64,0.48,0.02,0.03,0,0.56,0.1,0.45,0.69,0.18,0.69,0.49,0,0.45,0.99,0.91,0.64,0.97,0.23,0.83,0.63,0.49,0.02,0.03,0
64,0.8,0.33,0.64,0.48,0.54,0.54,1,0,0.93,0,0.14,0.11,0.95,0.91,0.54,0.88,0.26,0.75,0.64,0.48,0.02,0.03,0,0.56,0.1,0.45,0.69,0.18,0.69,0.49,0,0.45,0.99,0.91,0.64,0.97,0.23,0.83,0.63,0.49,0.02,0.03,0
65,0.8,0,0.64,0.48,0.54,0.54,1,0,0.93,0,0.14,0.11,0.95,0.91,0.54,0.88,0.26,0.75,0.64,0.48,0.02,0.03,0,0.56,0.1,0.45,0.69,0.18,0.69,0.49,0,0.45,0.99,0.91,0.64,0.97,0.23,0.83,0.63,0.49,0.02,0.03,0
66,0.8,0,0.64,0.47,0.54,0.54,1,0,0.93,0,0.14,0.1,0.95,0.91,0.54,0.88,0.26,0.75,0.64,0.48,0.02,0.03,0,0.56,0.1,0.46,0.69,0.18,0.69,0.49,0,0.46,0.99,0.91,0.64,0.97,0.23,0.83,0.63,0.49,0.02,0.03,0
67,0.84,0.34,0.64,0.48,0.54,0.54,1,0,0.93,0,0.14,0.1,0.95,0.91,0.54,0.88,0.26,0.75,0.64,0.48,0.02,0.03,0,0.56,0.1,0.46,0.69,0.17,0.69,0.49,0,0.46,0.99,0.91,0.64,0.97,0.23,0.83,0.63,0.49,0.02,0.03,0
68,0.82,0.35,0.64,0.48,0.54,0.54,1,0,0.93,0,0.14,0.1,0.95,0.91,0.54,0.88,0.26,0.75,0.64,0.48,0.02,0.03,0,0.56,0.1,0.46,0.69,0.17,0.69,0.49,0,0.46,0.99,0.91,0.64,0.97,0.23,0.83,0.63,0.49,0.02,0.03,0
69,0.81,0.35,0.64,0.47,0.54,0.54,1,0,0.93,0,0.14,0.1,0.95,0.91,0.55,0.88,0.26,0.75,0.64,0.48,0.02,0.03,0,0.56,0.1,0.46,0.69,0.17,0.69,0.5,0,0.46,0.99,0.91,0.65,0.97,0.23,0.83,0.63,0.49,0.02,0.03,0
70,0.87,0.35,0.64,0.47,0.54,0.54,1,0,0.93,0,0.14,0.1,0.95,0.91,0.55,0.88,0.26,0.75,0.64,0.48,0.02,0.03,0,0.56,0.1,0.46,0.69,0.17,0.69,0.5,0,0.46,0.99,0.91,0.65,0.97,0.23,0.83,0.63,0.49,0.02,0.03,0
71,0.84,0.34,0.64,0.48,0.54,0.54,1,0,0.93,0,0.14,0.1,0.95,0.91,0.55,0.88,0.26,0.75,0.64,0.48,0.02,0.03,0,0.56,0.1,0.46,0.69,0.17,0.69,0.49,0,0.46,0.99,0.91,0.65,0.97,0.23,0.84,0.63,0.49,0.02,0.03,0
72,0.8,0.34,0.64,0.47,0.54,0.54,1,0,0.93,0,0.14,0.1,0.95,0.91,0.55,0.88,0.26,0.75,0.64,0.48,0.02,0.03,0,0.56,0.1,0.46,0.69,0.17,0.69,0.5,0,0.46,0.99,0.91,0.65,0.97,0.23,0.84,0.63,0.49,0.02,0.03,0
73,0.8,0.34,0.64,0.48,0.54,0.54,1,0,0.93,0,0.14,0.1,0.95,0.91,0.55,0.88,0.26,0.75,0.64,0.48,0.02,0.03,0,0.56,0.1,0.46,0.69,0.17,0.69,0.5,0,0.46,0.99,0.91,0.65,0.97,0.23,0.84,0.63,0.49,0.02,0.03,0
74,0.8,0.35,0.64,0.48,0.54,0.54,1,0,0.93,0,0.14,0.1,0.95,0.91,0.55,0.88,0.26,0.75,0.63,0.48,0.02,0.03,0,0.56,0.1,0.46,0.69,0.17,0.69,0.5,0,0.46,0.99,0.91,0.65,0.97,0.23,0.84,0.63,0.49,0.02,0.03,0
75,0.87,0.34,0.64,0.47,0.54,0.54,1,0,0.93,0,0.14,0.1,0.95,0.91,0.55,0.88,0.26,0.75,0.63,0.48,0.02,0.03,0,0.56,0.1,0.46,0.69,0.17,0.69,0.5,0,0.46,0.99,0.91,0.65,0.97,0.23,0.84,0.63,0.49,0.02,0.03,0
76,0.8,0.34,0.64,0.48,0.54,0.54,1,0,0.93,0,0.14,0.1,0.95,0.91,0.55,0.88,0.26,0.75,0.63,0.48,0.02,0.03,0,0.56,0.1,0.46,0.69,0.17,0.69,0.5,0,0.46,0.99,0.91,0.65,0.97,0.23,0.84,0.63,0.49,0.02,0.03,0
77,0.84,0.34,0.64,0.48,0.54,0.54,1,0,0.93,0,0.14,0.1,0.95,0.91,0.55,0.88,0.26,0.75,0.63,0.47,0.02,0.03,0,0.56,0.1,0.46,0.7,0.17,0.69,0.5,0,0.46,0.99,0.91,0.65,0.97,0.23,0.84,0.63,0.49,0.02,0.03,0
78,0.81,0.34,0.64,0.48,0.54,0.54,1,0,0.93,0,0.14,0.1,0.95,0.91,0.55,0.88,0.26,0.75,0.63,0.48,0.02,0.03,0,0.56,0.1,0.46,0.7,0.17,0.69,0.5,0,0.46,0.99,0.91,0.65,0.97,0.23,0.84,0.63,0.49,0.02,0.03,0
79,0.81,0.34,0.64,0.48,0.54,0.54,1,0,0.93,0,0.14,0.1,0.95,0.91,0.55,0.88,0.26,0.75,0.63,0.48,0.02,0.03,0,0.56,0.1,0.46,0.7,0.17,0.69,0.5,0,0.46,0.99,0.91,0.65,0.97,0.22,0.84,0.63,0.49,0.02,0.03,0
80,0.8,0,0.64,0.48,0.54,0.54,1,0,0.93,0,0.14,0.1,0.95,0.91,0.55,0.88,0.26,0.75,0.63,0.47,0.02,0.03,0,0.56,0.1,0.46,0.7,0.17,0.69,0.5,0,0.46,0.99,0.91,0.65,0.97,0.23,0.84,0.63,0.49,0.02,0.03,0
